account_id,client_name,advisor_name,region,segment,account_type,asset_class,allocation_pct,market_value
A00006,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Trust,Alternatives,0.1215,105211.33
A00007,Lisa Castellano,Declan Moreau,West,Mass Affluent,Trust,US Equity,0.4391,77081.67
A00007,Lisa Castellano,Declan Moreau,West,Mass Affluent,Trust,International Equity,0.2148,37710.33
A00007,Lisa Castellano,Declan Moreau,West,Mass Affluent,Trust,Fixed Income,0.2545,44679.47
A00007,Lisa Castellano,Declan Moreau,West,Mass Affluent,Trust,Cash & Equivalents,0.0823,14439.62
A00007,Lisa Castellano,Declan Moreau,West,Mass Affluent,Trust,Alternatives,0.0093,1631.45
A00008,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,401(k) Rollover,US Equity,0.4382,2049949.03
A00008,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,401(k) Rollover,International Equity,0.2058,962804.14
A00008,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,401(k) Rollover,Fixed Income,0.158,739175.78
A00008,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,401(k) Rollover,Cash & Equivalents,0.0445,208330.67
A00008,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,401(k) Rollover,Alternatives,0.1535,718368.32
A00009,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,Trust,US Equity,0.4011,3343945.43
A00009,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,Trust,International Equity,0.1962,1635911.32
A00009,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,Trust,Fixed Income,0.2245,1871297.83
A00009,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,Trust,Cash & Equivalents,0.0112,93027.86
A00009,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,Trust,Alternatives,0.167,1392105.49
A00010,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,Roth IRA,US Equity,0.367,2705828.67
A00010,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,Roth IRA,International Equity,0.1843,1358694.15
A00010,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,Roth IRA,Fixed Income,0.1993,1469600.05
A00010,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,Roth IRA,Cash & Equivalents,0.0197,145494.59
A00010,Edward Hollis,Camille Okafor,West,Ultra High Net Worth,Roth IRA,Alternatives,0.2296,1692437.64
A00011,Deborah Anderson,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,US Equity,0.3912,1026636.09
A00011,Deborah Anderson,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,International Equity,0.1575,413306.94
A00011,Deborah Anderson,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,Fixed Income,0.2675,702059.9
A00011,Deborah Anderson,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,Cash & Equivalents,0.0905,237577.69
A00011,Deborah Anderson,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,Alternatives,0.0933,244788.35
A00012,Robert Petrov,Warren Tsai,West,High Net Worth,401(k) Rollover,US Equity,0.4439,383872.01
A00012,Robert Petrov,Warren Tsai,West,High Net Worth,401(k) Rollover,International Equity,0.2108,182313.6
A00012,Robert Petrov,Warren Tsai,West,High Net Worth,401(k) Rollover,Fixed Income,0.1993,172326.43
A00012,Robert Petrov,Warren Tsai,West,High Net Worth,401(k) Rollover,Cash & Equivalents,0.0419,36190.74
A00012,Robert Petrov,Warren Tsai,West,High Net Worth,401(k) Rollover,Alternatives,0.1041,89983.37
A00013,Robert Petrov,Warren Tsai,West,High Net Worth,Taxable Brokerage,US Equity,0.466,236125.27
A00013,Robert Petrov,Warren Tsai,West,High Net Worth,Taxable Brokerage,International Equity,0.1849,93669.92
A00013,Robert Petrov,Warren Tsai,West,High Net Worth,Taxable Brokerage,Fixed Income,0.1948,98698.12
A00013,Robert Petrov,Warren Tsai,West,High Net Worth,Taxable Brokerage,Cash & Equivalents,0.0331,16757.52
A00013,Robert Petrov,Warren Tsai,West,High Net Worth,Taxable Brokerage,Alternatives,0.1213,61478.14
A00014,Robert Petrov,Warren Tsai,West,High Net Worth,Trust,US Equity,0.3932,158850.63
A00014,Robert Petrov,Warren Tsai,West,High Net Worth,Trust,International Equity,0.1858,75061.81
A00014,Robert Petrov,Warren Tsai,West,High Net Worth,Trust,Fixed Income,0.2432,98261.74
A00014,Robert Petrov,Warren Tsai,West,High Net Worth,Trust,Cash & Equivalents,0.0653,26383.34
A00014,Robert Petrov,Warren Tsai,West,High Net Worth,Trust,Alternatives,0.1125,45449.99
A00016,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,Trust,US Equity,0.438,80515.64
A00016,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,Trust,International Equity,0.1807,33208.93
A00016,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,Trust,Fixed Income,0.2698,49591.0
A00016,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,Trust,Cash & Equivalents,0.0705,12955.23
A00016,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,Trust,Alternatives,0.041,7544.68
A00017,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,Traditional IRA,US Equity,0.4276,48637.36
A00017,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,Traditional IRA,International Equity,0.1389,15804.38
A00017,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,Traditional IRA,Fixed Income,0.2866,32597.36
A00017,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,Traditional IRA,Cash & Equivalents,0.1077,12254.64
A00017,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,Traditional IRA,Alternatives,0.0392,4458.16
A00018,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,401(k) Rollover,US Equity,0.4946,50285.27
A00018,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,401(k) Rollover,International Equity,0.1353,13756.08
A00018,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,401(k) Rollover,Fixed Income,0.2924,29727.17
A00018,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,401(k) Rollover,Cash & Equivalents,0.0667,6784.34
A00018,Cynthia Lockhart,Warren Tsai,West,Mass Affluent,401(k) Rollover,Alternatives,0.011,1114.21
A00019,Emily Thorne,Rowan Blackwell,Southeast,High Net Worth,Traditional IRA,US Equity,0.4265,603524.65
A00019,Emily Thorne,Rowan Blackwell,Southeast,High Net Worth,Traditional IRA,International Equity,0.2092,296031.18
A00019,Emily Thorne,Rowan Blackwell,Southeast,High Net Worth,Traditional IRA,Fixed Income,0.2787,394402.1
A00019,Emily Thorne,Rowan Blackwell,Southeast,High Net Worth,Traditional IRA,Cash & Equivalents,0.0118,16715.39
A00019,Emily Thorne,Rowan Blackwell,Southeast,High Net Worth,Traditional IRA,Alternatives,0.0737,104268.47
A00020,Emily Thorne,Rowan Blackwell,Southeast,High Net Worth,Trust,US Equity,0.3841,431011.81
A00020,Emily Thorne,Rowan Blackwell,Southeast,High Net Worth,Trust,International Equity,0.2169,243390.7
A00020,Emily Thorne,Rowan Blackwell,Southeast,High Net Worth,Trust,Fixed Income,0.233,261429.81
A00020,Emily Thorne,Rowan Blackwell,Southeast,High Net Worth,Trust,Cash & Equivalents,0.0259,29106.3
A00020,Emily Thorne,Rowan Blackwell,Southeast,High Net Worth,Trust,Alternatives,0.14,157054.8
A00021,Timothy Kowalski,Aisha Bello,Northeast,Mass Affluent,Roth IRA,US Equity,0.4938,101019.23
A00021,Timothy Kowalski,Aisha Bello,Northeast,Mass Affluent,Roth IRA,International Equity,0.1868,38222.49
A00021,Timothy Kowalski,Aisha Bello,Northeast,Mass Affluent,Roth IRA,Fixed Income,0.2619,53587.83
A00021,Timothy Kowalski,Aisha Bello,Northeast,Mass Affluent,Roth IRA,Cash & Equivalents,0.0343,7013.25
A00021,Timothy Kowalski,Aisha Bello,Northeast,Mass Affluent,Roth IRA,Alternatives,0.0232,4739.26
A00023,Kevin Delacroix,Warren Tsai,West,Mass Affluent,Taxable Brokerage,US Equity,0.5226,91210.38
A00023,Kevin Delacroix,Warren Tsai,West,Mass Affluent,Taxable Brokerage,International Equity,0.1472,25692.06
A00023,Kevin Delacroix,Warren Tsai,West,Mass Affluent,Taxable Brokerage,Fixed Income,0.2986,52111.52
A00023,Kevin Delacroix,Warren Tsai,West,Mass Affluent,Taxable Brokerage,Cash & Equivalents,0.0214,3740.02
A00023,Kevin Delacroix,Warren Tsai,West,Mass Affluent,Taxable Brokerage,Alternatives,0.0102,1781.84
A00024,Kimberly Bergeron,Nina Castellanos,Southeast,High Net Worth,Trust,US Equity,0.4737,871077.81
A00024,Kimberly Bergeron,Nina Castellanos,Southeast,High Net Worth,Trust,International Equity,0.1713,315002.23
A00024,Kimberly Bergeron,Nina Castellanos,Southeast,High Net Worth,Trust,Fixed Income,0.2092,384629.78
A00024,Kimberly Bergeron,Nina Castellanos,Southeast,High Net Worth,Trust,Cash & Equivalents,0.0367,67538.28
A00024,Kimberly Bergeron,Nina Castellanos,Southeast,High Net Worth,Trust,Alternatives,0.109,200439.27
A00025,Kimberly Bergeron,Nina Castellanos,Southeast,High Net Worth,Roth IRA,US Equity,0.4061,586657.44
A00025,Kimberly Bergeron,Nina Castellanos,Southeast,High Net Worth,Roth IRA,International Equity,0.1969,284409.51
A00025,Kimberly Bergeron,Nina Castellanos,Southeast,High Net Worth,Roth IRA,Fixed Income,0.2594,374701.18
A00025,Kimberly Bergeron,Nina Castellanos,Southeast,High Net Worth,Roth IRA,Cash & Equivalents,0.0154,22306.41
A00025,Kimberly Bergeron,Nina Castellanos,Southeast,High Net Worth,Roth IRA,Alternatives,0.1222,176601.2
A00026,Maria Broussard,Tomas Herrera,Northeast,Mass Affluent,401(k) Rollover,US Equity,0.4128,35196.74
A00026,Maria Broussard,Tomas Herrera,Northeast,Mass Affluent,401(k) Rollover,International Equity,0.193,16460.77
A00026,Maria Broussard,Tomas Herrera,Northeast,Mass Affluent,401(k) Rollover,Fixed Income,0.2544,21696.27
A00026,Maria Broussard,Tomas Herrera,Northeast,Mass Affluent,401(k) Rollover,Cash & Equivalents,0.0744,6343.54
A00026,Maria Broussard,Tomas Herrera,Northeast,Mass Affluent,401(k) Rollover,Alternatives,0.0654,5576.17
A00027,Maria Broussard,Tomas Herrera,Northeast,Mass Affluent,Roth IRA,US Equity,0.4779,56244.29
A00027,Maria Broussard,Tomas Herrera,Northeast,Mass Affluent,Roth IRA,International Equity,0.1956,23018.25
A00027,Maria Broussard,Tomas Herrera,Northeast,Mass Affluent,Roth IRA,Fixed Income,0.1984,23350.82
A00027,Maria Broussard,Tomas Herrera,Northeast,Mass Affluent,Roth IRA,Cash & Equivalents,0.1183,13927.65
A00027,Maria Broussard,Tomas Herrera,Northeast,Mass Affluent,Roth IRA,Alternatives,0.0098,1157.75
A00028,Kenneth Grimaldi,Nina Castellanos,Southeast,Ultra High Net Worth,Roth IRA,US Equity,0.3573,2483576.96
A00028,Kenneth Grimaldi,Nina Castellanos,Southeast,Ultra High Net Worth,Roth IRA,International Equity,0.2122,1474577.84
A00028,Kenneth Grimaldi,Nina Castellanos,Southeast,Ultra High Net Worth,Roth IRA,Fixed Income,0.2486,1727990.11
A00028,Kenneth Grimaldi,Nina Castellanos,Southeast,Ultra High Net Worth,Roth IRA,Cash & Equivalents,0.0097,67219.86
A00028,Kenneth Grimaldi,Nina Castellanos,Southeast,Ultra High Net Worth,Roth IRA,Alternatives,0.1722,1196647.92
A00029,Kenneth Grimaldi,Nina Castellanos,Southeast,Ultra High Net Worth,401(k) Rollover,US Equity,0.3379,10670660.28
A00029,Kenneth Grimaldi,Nina Castellanos,Southeast,Ultra High Net Worth,401(k) Rollover,International Equity,0.2419,7639452.3
A00029,Kenneth Grimaldi,Nina Castellanos,Southeast,Ultra High Net Worth,401(k) Rollover,Fixed Income,0.1852,5849224.96
A00029,Kenneth Grimaldi,Nina Castellanos,Southeast,Ultra High Net Worth,401(k) Rollover,Cash & Equivalents,0.0388,1225105.52
A00029,Kenneth Grimaldi,Nina Castellanos,Southeast,Ultra High Net Worth,401(k) Rollover,Alternatives,0.1962,6195909.98
A00030,Michael Stroud,Camille Okafor,West,High Net Worth,Roth IRA,US Equity,0.4135,1187691.95
A00030,Michael Stroud,Camille Okafor,West,High Net Worth,Roth IRA,International Equity,0.1873,537955.99
A00030,Michael Stroud,Camille Okafor,West,High Net Worth,Roth IRA,Fixed Income,0.2502,718693.68
A00030,Michael Stroud,Camille Okafor,West,High Net Worth,Roth IRA,Cash & Equivalents,0.0422,121201.27
A00030,Michael Stroud,Camille Okafor,West,High Net Worth,Roth IRA,Alternatives,0.1068,306920.44
A00031,Sandra Kowalski,Dana Whitfield,Midwest,Mass Affluent,Traditional IRA,US Equity,0.4859,54557.45
A00031,Sandra Kowalski,Dana Whitfield,Midwest,Mass Affluent,Traditional IRA,International Equity,0.0936,10506.08
A00031,Sandra Kowalski,Dana Whitfield,Midwest,Mass Affluent,Traditional IRA,Fixed Income,0.2928,32875.9
A00031,Sandra Kowalski,Dana Whitfield,Midwest,Mass Affluent,Traditional IRA,Cash & Equivalents,0.0601,6744.32
A00031,Sandra Kowalski,Dana Whitfield,Midwest,Mass Affluent,Traditional IRA,Alternatives,0.0676,7586.66
A00032,Sandra Kowalski,Dana Whitfield,Midwest,Mass Affluent,401(k) Rollover,US Equity,0.4696,84357.56
A00032,Sandra Kowalski,Dana Whitfield,Midwest,Mass Affluent,401(k) Rollover,International Equity,0.1923,34550.71
A00032,Sandra Kowalski,Dana Whitfield,Midwest,Mass Affluent,401(k) Rollover,Fixed Income,0.2672,48003.99
A00032,Sandra Kowalski,Dana Whitfield,Midwest,Mass Affluent,401(k) Rollover,Cash & Equivalents,0.0607,10902.97
A00032,Sandra Kowalski,Dana Whitfield,Midwest,Mass Affluent,401(k) Rollover,Alternatives,0.0102,1823.77
A00033,Ryan Haddad,Declan Moreau,West,Mass Affluent,401(k) Rollover,US Equity,0.4176,61087.18
A00033,Ryan Haddad,Declan Moreau,West,Mass Affluent,401(k) Rollover,International Equity,0.179,26189.08
A00033,Ryan Haddad,Declan Moreau,West,Mass Affluent,401(k) Rollover,Fixed Income,0.3199,46795.1
A00033,Ryan Haddad,Declan Moreau,West,Mass Affluent,401(k) Rollover,Cash & Equivalents,0.0596,8718.61
A00033,Ryan Haddad,Declan Moreau,West,Mass Affluent,401(k) Rollover,Alternatives,0.0239,3489.3
A00034,James Lindqvist,Rowan Blackwell,Southeast,Mass Affluent,Taxable Brokerage,US Equity,0.4391,101303.79
A00034,James Lindqvist,Rowan Blackwell,Southeast,Mass Affluent,Taxable Brokerage,International Equity,0.1748,40330.14
A00034,James Lindqvist,Rowan Blackwell,Southeast,Mass Affluent,Taxable Brokerage,Fixed Income,0.2571,59317.52
A00034,James Lindqvist,Rowan Blackwell,Southeast,Mass Affluent,Taxable Brokerage,Cash & Equivalents,0.0523,12074.02
A00034,James Lindqvist,Rowan Blackwell,Southeast,Mass Affluent,Taxable Brokerage,Alternatives,0.0766,17663.77
A00035,Rebecca Rasmussen,Elise Fontaine,Southeast,Mass Affluent,Trust,US Equity,0.4283,89817.48
A00035,Rebecca Rasmussen,Elise Fontaine,Southeast,Mass Affluent,Trust,International Equity,0.1833,38443.25
A00035,Rebecca Rasmussen,Elise Fontaine,Southeast,Mass Affluent,Trust,Fixed Income,0.2544,53346.25
A00035,Rebecca Rasmussen,Elise Fontaine,Southeast,Mass Affluent,Trust,Cash & Equivalents,0.1249,26189.99
A00035,Rebecca Rasmussen,Elise Fontaine,Southeast,Mass Affluent,Trust,Alternatives,0.0091,1901.5
A00036,Jeffrey Hargrove,Camille Okafor,West,Mass Affluent,Taxable Brokerage,US Equity,0.4731,175005.12
A00036,Jeffrey Hargrove,Camille Okafor,West,Mass Affluent,Taxable Brokerage,International Equity,0.1448,53564.29
A00036,Jeffrey Hargrove,Camille Okafor,West,Mass Affluent,Taxable Brokerage,Fixed Income,0.2605,96357.14
A00036,Jeffrey Hargrove,Camille Okafor,West,Mass Affluent,Taxable Brokerage,Cash & Equivalents,0.0863,31924.74
A00036,Jeffrey Hargrove,Camille Okafor,West,Mass Affluent,Taxable Brokerage,Alternatives,0.0353,13076.05
A00037,Barbara Hollis,Tomas Herrera,Northeast,Mass Affluent,Taxable Brokerage,US Equity,0.4058,92159.01
A00037,Barbara Hollis,Tomas Herrera,Northeast,Mass Affluent,Taxable Brokerage,International Equity,0.1463,33224.52
A00037,Barbara Hollis,Tomas Herrera,Northeast,Mass Affluent,Taxable Brokerage,Fixed Income,0.2873,65252.59
A00037,Barbara Hollis,Tomas Herrera,Northeast,Mass Affluent,Taxable Brokerage,Cash & Equivalents,0.1026,23307.08
A00037,Barbara Hollis,Tomas Herrera,Northeast,Mass Affluent,Taxable Brokerage,Alternatives,0.0579,13159.19
A00038,Barbara Hollis,Tomas Herrera,Northeast,Mass Affluent,Trust,US Equity,0.3708,40318.79
A00038,Barbara Hollis,Tomas Herrera,Northeast,Mass Affluent,Trust,International Equity,0.1878,20426.0
A00038,Barbara Hollis,Tomas Herrera,Northeast,Mass Affluent,Trust,Fixed Income,0.2628,28574.74
A00038,Barbara Hollis,Tomas Herrera,Northeast,Mass Affluent,Trust,Cash & Equivalents,0.0786,8545.8
A00038,Barbara Hollis,Tomas Herrera,Northeast,Mass Affluent,Trust,Alternatives,0.1001,10881.06
A00039,Nancy Tavares,Dana Whitfield,Midwest,Mass Affluent,Traditional IRA,US Equity,0.5169,55463.73
A00039,Nancy Tavares,Dana Whitfield,Midwest,Mass Affluent,Traditional IRA,International Equity,0.192,20607.21
A00039,Nancy Tavares,Dana Whitfield,Midwest,Mass Affluent,Traditional IRA,Fixed Income,0.2253,24181.14
A00039,Nancy Tavares,Dana Whitfield,Midwest,Mass Affluent,Traditional IRA,Cash & Equivalents,0.0548,5875.29
A00039,Nancy Tavares,Dana Whitfield,Midwest,Mass Affluent,Traditional IRA,Alternatives,0.011,1178.04
A00040,Nancy Tavares,Dana Whitfield,Midwest,Mass Affluent,Roth IRA,US Equity,0.4695,39693.67
A00040,Nancy Tavares,Dana Whitfield,Midwest,Mass Affluent,Roth IRA,International Equity,0.1602,13542.64
A00040,Nancy Tavares,Dana Whitfield,Midwest,Mass Affluent,Roth IRA,Fixed Income,0.3389,28648.98
A00040,Nancy Tavares,Dana Whitfield,Midwest,Mass Affluent,Roth IRA,Cash & Equivalents,0.011,927.38
A00040,Nancy Tavares,Dana Whitfield,Midwest,Mass Affluent,Roth IRA,Alternatives,0.0205,1729.01
A00041,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Trust,US Equity,0.3295,946214.87
A00041,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Trust,International Equity,0.1513,434498.77
A00041,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Trust,Fixed Income,0.2121,608894.0
A00041,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Trust,Cash & Equivalents,0.0757,217356.58
A00041,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Trust,Alternatives,0.2314,664330.77
A00042,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Roth IRA,US Equity,0.4325,1379626.4
A00042,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Roth IRA,International Equity,0.1498,477822.6
A00042,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Roth IRA,Fixed Income,0.2683,855913.19
A00042,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Roth IRA,Cash & Equivalents,0.036,114841.8
A00042,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Roth IRA,Alternatives,0.1135,362003.1
A00043,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Taxable Brokerage,US Equity,0.3353,1546853.04
A00043,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Taxable Brokerage,International Equity,0.1952,900434.44
A00043,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Taxable Brokerage,Fixed Income,0.1553,716418.19
A00043,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Taxable Brokerage,Cash & Equivalents,0.0687,316787.36
A00043,Jennifer Hollis,Warren Tsai,West,Ultra High Net Worth,Taxable Brokerage,Alternatives,0.2456,1133343.97
A00044,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Taxable Brokerage,US Equity,0.4885,75189.29
A00044,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Taxable Brokerage,International Equity,0.1338,20596.9
A00044,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Taxable Brokerage,Fixed Income,0.2611,40196.94
A00044,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Taxable Brokerage,Cash & Equivalents,0.1069,16448.56
A00044,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Taxable Brokerage,Alternatives,0.0097,1496.03
A00045,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Trust,US Equity,0.4079,37691.28
A00045,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Trust,International Equity,0.1922,17760.28
A00045,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Trust,Fixed Income,0.2635,24350.08
A00045,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Trust,Cash & Equivalents,0.0733,6772.07
A00045,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Trust,Alternatives,0.063,5822.47
A00046,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Roth IRA,US Equity,0.4649,43175.17
A00046,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Roth IRA,International Equity,0.1628,15121.91
A00046,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Roth IRA,Fixed Income,0.2685,24937.36
A00046,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Roth IRA,Cash & Equivalents,0.0939,8716.65
A00046,Robert Castellano,Aisha Bello,Northeast,Mass Affluent,Roth IRA,Alternatives,0.0098,912.01
A00047,Cynthia Vance,Aisha Bello,Northeast,Mass Affluent,401(k) Rollover,US Equity,0.4293,64337.42
A00047,Cynthia Vance,Aisha Bello,Northeast,Mass Affluent,401(k) Rollover,International Equity,0.1678,25140.4
A00047,Cynthia Vance,Aisha Bello,Northeast,Mass Affluent,401(k) Rollover,Fixed Income,0.3013,45155.64
A00047,Cynthia Vance,Aisha Bello,Northeast,Mass Affluent,401(k) Rollover,Cash & Equivalents,0.0918,13754.88
A00047,Cynthia Vance,Aisha Bello,Northeast,Mass Affluent,401(k) Rollover,Alternatives,0.0098,1467.07
A00048,Cynthia Vance,Aisha Bello,Northeast,Mass Affluent,Taxable Brokerage,US Equity,0.4675,54895.94
A00048,Cynthia Vance,Aisha Bello,Northeast,Mass Affluent,Taxable Brokerage,International Equity,0.1688,19822.0
A00048,Cynthia Vance,Aisha Bello,Northeast,Mass Affluent,Taxable Brokerage,Fixed Income,0.2995,35163.25
A00048,Cynthia Vance,Aisha Bello,Northeast,Mass Affluent,Taxable Brokerage,Cash & Equivalents,0.0226,2655.44
A00048,Cynthia Vance,Aisha Bello,Northeast,Mass Affluent,Taxable Brokerage,Alternatives,0.0416,4883.07
A00049,Michael Reyes,Warren Tsai,West,Mass Affluent,401(k) Rollover,US Equity,0.4152,23432.17
A00049,Michael Reyes,Warren Tsai,West,Mass Affluent,401(k) Rollover,International Equity,0.1837,10366.16
A00049,Michael Reyes,Warren Tsai,West,Mass Affluent,401(k) Rollover,Fixed Income,0.2913,16443.01
A00049,Michael Reyes,Warren Tsai,West,Mass Affluent,401(k) Rollover,Cash & Equivalents,0.0823,4645.7
A00049,Michael Reyes,Warren Tsai,West,Mass Affluent,401(k) Rollover,Alternatives,0.0275,1550.7
A00050,Michael Reyes,Warren Tsai,West,Mass Affluent,Roth IRA,US Equity,0.4595,38790.87
A00050,Michael Reyes,Warren Tsai,West,Mass Affluent,Roth IRA,International Equity,0.1614,13627.1
A00050,Michael Reyes,Warren Tsai,West,Mass Affluent,Roth IRA,Fixed Income,0.3283,27714.98
A00050,Michael Reyes,Warren Tsai,West,Mass Affluent,Roth IRA,Cash & Equivalents,0.0406,3428.14
A00050,Michael Reyes,Warren Tsai,West,Mass Affluent,Roth IRA,Alternatives,0.0101,855.22
